funding_round_id,investors,strict_solution_count,strict_solution,repair_solution_count,repair_solution
b5c19f36-36d7-407a-88b0-3d5a755cd939,"ACVC Partners,Catalus Capital,Fine Structure Venture,Impact Science Ventures,Syensqo Ventures,VoLo Earth Ventures,W.L. Gore & Associates,Zhongli International Financial Leasing Co.,",1,"ACVC Partners || Catalus Capital || Fine Structure Venture || Impact Science Ventures || Syensqo Ventures || VoLo Earth Ventures || W.L. Gore & Associates || Zhongli International Financial Leasing Co.,",0,
b4d52186-4fbe-4dbe-b49f-0c8384c681ac,"6igma Ventures,,Geek Ventures,GoodPaper Ventures,Huyen Tran,One Way Ventures,Reseda Group,TruStage Ventures,Zeal Capital Partners",1,"6igma Ventures, || Geek Ventures || GoodPaper Ventures || Huyen Tran || One Way Ventures || Reseda Group || TruStage Ventures || Zeal Capital Partners",0,
12e557c0-1026-4511-9177-16042a6cd0db,"10D,Alumni Ventures,Ariel Maislos,Benny Schnaider,,Cyber Club London,Kelvin Beachum Jr.,Larry Fitzgerald,Mario Götze,Maty Siman,Michael Dolinsky,Ofer Ben Noon,Slavik Markovich,SV Angel,The Players Fund,toDay.Ventures",1,"10D || Alumni Ventures || Ariel Maislos || Benny Schnaider, || Cyber Club London || Kelvin Beachum Jr. || Larry Fitzgerald || Mario Götze || Maty Siman || Michael Dolinsky || Ofer Ben Noon || Slavik Markovich || SV Angel || The Players Fund || toDay.Ventures",1,10D || Alumni Ventures || Ariel Maislos || Benny Schnaider || Cyber Club London || Kelvin Beachum Jr. || Larry Fitzgerald || Mario Götze || Maty Siman || Michael Dolinsky || Ofer Ben Noon || Slavik Markovich || SV Angel || The Players Fund || toDay.Ventures
fdd41885-d223-4a22-9d18-c13e47658137,"Amit Agarwal,,Anthology Fund,Conviction,Elad Gil,Jeff Dean,Khosla Ventures,Nikesh Arora,S32",1,"Amit Agarwal, || Anthology Fund || Conviction || Elad Gil || Jeff Dean || Khosla Ventures || Nikesh Arora || S32",1,Amit Agarwal || Anthology Fund || Conviction || Elad Gil || Jeff Dean || Khosla Ventures || Nikesh Arora || S32
531f0a75-216b-440b-8460-273e0db49837,"500 Global,Alok Nanavati,Harit Nagpal,Mahesh Kamdar,Sadev Ventures,Silverneedle Ventures,Swati Parikh,,Venture Catalysts,Wavemaker Ventures",1,"500 Global || Alok Nanavati || Harit Nagpal || Mahesh Kamdar || Sadev Ventures || Silverneedle Ventures || Swati Parikh, || Venture Catalysts || Wavemaker Ventures",0,
9cae9a84-4324-4453-8a19-e29822d41f22,"A16Z GAMES Speedrun,Antler,AppWorks,Dan Bunting,Founders Launchpad,Gabby Dizon,Hustle Fund,Joedat Esfahani,Kun Gao,Luka Perković,Marcin Jankowski,Orvel Ventures,Sunset Ventures,Surge,Voyboy ..,",1,"A16Z GAMES Speedrun || Antler || AppWorks || Dan Bunting || Founders Launchpad || Gabby Dizon || Hustle Fund || Joedat Esfahani || Kun Gao || Luka Perković || Marcin Jankowski || Orvel Ventures || Sunset Ventures || Surge || Voyboy ..,",0,
1924ad65-2be1-4f47-b029-9f31c246cdc6,"Anton Bukov,Blockchain Founders Fund,Bodhi Ventures,Dewhales Capital,Faction,Founderheads,,Framework Ventures,Jordi Alexander,Kain Warwick,NGC Ventures,Robot Ventures,Spencer Noon,WAGMI Ventures",1,"Anton Bukov || Blockchain Founders Fund || Bodhi Ventures || Dewhales Capital || Faction || Founderheads, || Framework Ventures || Jordi Alexander || Kain Warwick || NGC Ventures || Robot Ventures || Spencer Noon || WAGMI Ventures",0,
f199209a-ef89-41a1-91b6-7c93858eadd1,"Ahmed Ibrahim Saidan,Madarat Investment,Mohammed ,,,,Outliers Venture Capital",1,"Ahmed Ibrahim Saidan || Madarat Investment || Mohammed,,, || Outliers Venture Capital",0,
d51bfa92-eb2d-405b-844a-c39b821fefa9,"1inch,Clever Advertising,Extream Ventures,Founderheads,,GBV Capital,Hercules Ventures,Luso Digital Assets,LVT Capital,NewTribe Capital,Oasis Metaverse Ventures,Olisipo Way,Oracles Investment Group,Polkastarter,Poolz Ventures,Unreal Capital,ZBS CAPITAL",1,"1inch || Clever Advertising || Extream Ventures || Founderheads, || GBV Capital || Hercules Ventures || Luso Digital Assets || LVT Capital || NewTribe Capital || Oasis Metaverse Ventures || Olisipo Way || Oracles Investment Group || Polkastarter || Poolz Ventures || Unreal Capital || ZBS CAPITAL",0,
d5b45733-5068-489b-9730-7e770da20873,"Arrington Capital,Draper Dragon,Finality Capital Partners,Founderheads,,Fusion Fund,Lightshift Capital,Paper Ventures,Paul Taylor,Protagonist,Selini Capital,Spaceship,UDHC,WAGMI Ventures,Zero DAO,Zero Knowledge",1,"Arrington Capital || Draper Dragon || Finality Capital Partners || Founderheads, || Fusion Fund || Lightshift Capital || Paper Ventures || Paul Taylor || Protagonist || Selini Capital || Spaceship || UDHC || WAGMI Ventures || Zero DAO || Zero Knowledge",0,
