funding_round_id,investors,normalized,contains_empty_chunk,repairable_after_empty_removal
49952285-2c5b-48b6-95fa-cc406a96bdcd,"500 Global,HALA Ventures,HearstLab,Idrisi Ventures,Prosus Ventures,Wa’ed Ventures","500 Global,HALA Ventures,HearstLab,Idrisi Ventures,Prosus Ventures,Wa’ed Ventures",false,false
2d8b3c24-e4ef-47e8-b9ab-88e665ec946f,"Arzan Venture Capital,Camel Ventures,Falak Startups,Global Ventures,HALA Ventures,Ingressive Capital,P1 Ventures,Plug and Play,Plus Venture Capital","Arzan Venture Capital,Camel Ventures,Falak Startups,Global Ventures,HALA Ventures,Ingressive Capital,P1 Ventures,Plug and Play,Plus Venture Capital",false,false
4cb2aa70-2cf9-47fa-96a1-97f59276253d,"Aqar,HALA Ventures,Joa Capital,Nama Ventures,Raed Ventures,SEEDRA Ventures","Aqar,HALA Ventures,Joa Capital,Nama Ventures,Raed Ventures,SEEDRA Ventures",false,false
5132b226-1edf-4fd8-b605-a39dc3eb5dba,"HALA Ventures,INSEAD GAIN - Global Angel & Investment Network,Sanabil 500 MENA Seed Accelerator,Wa’ed Ventures","HALA Ventures,INSEAD GAIN - Global Angel & Investment Network,Sanabil 500 MENA Seed Accelerator,Wa’ed Ventures",false,false
505d77dd-c957-41b8-8d55-752f6fb54467,"500 Global,Al Falaj Investment Company,Dubai Angel Investors,HALA Ventures,Impact46,Jonathan Labin,Karl Olsson,KBW Ventures,Knollwood Investment Advisory,Samih Toukan,Shorooq Partners,Vision Ventures","500 Global,Al Falaj Investment Company,Dubai Angel Investors,HALA Ventures,Impact46,Jonathan Labin,Karl Olsson,KBW Ventures,Knollwood Investment Advisory,Samih Toukan,Shorooq Partners,Vision Ventures",false,false
e42bc539-92fb-45d7-87ef-2eb881178af9,"Arzan Venture Capital,HALA Ventures,Palm Ventures,Vision Ventures","Arzan Venture Capital,HALA Ventures,Palm Ventures,Vision Ventures",false,false
26dabfe0-88ea-4141-a665-b9f0c03fa795,"Arzan Venture Capital,HALA Ventures,Sanabil,Stc,Vision Ventures","Arzan Venture Capital,HALA Ventures,Sanabil,Stc,Vision Ventures",false,false
6623f1fe-c4be-410e-a15a-cf99d06a906c,"500 Global,AlBawardi Group,Al Nafea,Bunat Ventures,DASH Ventures,HALA Ventures,Jahez International Company,RZM Investments,SEEDRA Ventures,Siraj Holding,VentureSouq","500 Global,AlBawardi Group,Al Nafea,Bunat Ventures,DASH Ventures,HALA Ventures,Jahez International Company,RZM Investments,SEEDRA Ventures,Siraj Holding,VentureSouq",false,false
c6d690b0-51b7-486a-b9ea-18dfe1bed040,"500 Global,HALA Ventures,HearstLab,Sukna Ventures,Tech Invest Com,Vision Ventures","500 Global,HALA Ventures,HearstLab,Sukna Ventures,Tech Invest Com,Vision Ventures",false,false
80de3603-18fb-4dc8-a0b6-bd3b049c9feb,"Algebra Ventures,Arzan Venture Capital,Financial Horizon Group,HALA Ventures,KFHC Ventures","Algebra Ventures,Arzan Venture Capital,Financial Horizon Group,HALA Ventures,KFHC Ventures",false,false
f418666d-113a-4e58-bb7b-0b2f3fe08536,"HALA Ventures,Impact46,SEEDRA Ventures,Techstars","HALA Ventures,Impact46,SEEDRA Ventures,Techstars",false,false
31de20ad-af34-481c-b6d0-14cd3621da2b,"500 Global,EFG EV Fintech,F6 Ventures,HALA Ventures","500 Global,EFG EV Fintech,F6 Ventures,HALA Ventures",false,false
4a158c67-4ff9-43f0-aaea-443310f2ff76,"Business Innovation Mine (BIM),Derayah Venture Capital,HALA Ventures,Impact46","Business Innovation Mine (BIM),Derayah Venture Capital,HALA Ventures,Impact46",false,false
1e9909b5-e1d6-43b4-b116-27d0b78e3c30,"Arzan Venture Capital,Dtec Ventures,Dubai Angel Investors,HALA Ventures,Sanabil 500 MENA Seed Accelerator","Arzan Venture Capital,Dtec Ventures,Dubai Angel Investors,HALA Ventures,Sanabil 500 MENA Seed Accelerator",false,false
5fffe929-6183-4481-b1d7-90440c0c3c31,"AlJammaz Group,Derayah Financial,HALA Ventures,Public Investment Fund,STV","AlJammaz Group,Derayah Financial,HALA Ventures,Public Investment Fund,STV",false,false
628ab56c-a79d-4f57-97d8-2ae9869382ae,"500 Global,Dubai International Financial Centre (DIFC),HALA Ventures,Kuwait Investment Projects Company,Middle East Venture Partners (MEVP),Mubadala,Oryx Fund,Shorooq Partners,Vision Ventures","500 Global,Dubai International Financial Centre (DIFC),HALA Ventures,Kuwait Investment Projects Company,Middle East Venture Partners (MEVP),Mubadala,Oryx Fund,Shorooq Partners,Vision Ventures",false,false
0237eb16-5814-4831-915a-d6b953b2acc8,"Global Ventures,HALA Ventures,Vision Ventures","Global Ventures,HALA Ventures,Vision Ventures",false,false
