funding_round_id,investors,possible_blocking_text,removed_chunk_count,remaining_solution
49952285-2c5b-48b6-95fa-cc406a96bdcd,"500 Global,HALA Ventures,HearstLab,Idrisi Ventures,Prosus Ventures,Wa’ed Ventures",HALA Ventures,1,500 Global || HearstLab || Idrisi Ventures || Prosus Ventures || Wa’ed Ventures
2d8b3c24-e4ef-47e8-b9ab-88e665ec946f,"Arzan Venture Capital,Camel Ventures,Falak Startups,Global Ventures,HALA Ventures,Ingressive Capital,P1 Ventures,Plug and Play,Plus Venture Capital",HALA Ventures,1,Arzan Venture Capital || Camel Ventures || Falak Startups || Global Ventures || Ingressive Capital || P1 Ventures || Plug and Play || Plus Venture Capital
4cb2aa70-2cf9-47fa-96a1-97f59276253d,"Aqar,HALA Ventures,Joa Capital,Nama Ventures,Raed Ventures,SEEDRA Ventures",HALA Ventures,1,Aqar || Joa Capital || Nama Ventures || Raed Ventures || SEEDRA Ventures
5132b226-1edf-4fd8-b605-a39dc3eb5dba,"HALA Ventures,INSEAD GAIN - Global Angel & Investment Network,Sanabil 500 MENA Seed Accelerator,Wa’ed Ventures",HALA Ventures,1,INSEAD GAIN - Global Angel & Investment Network || Sanabil 500 MENA Seed Accelerator || Wa’ed Ventures
505d77dd-c957-41b8-8d55-752f6fb54467,"500 Global,Al Falaj Investment Company,Dubai Angel Investors,HALA Ventures,Impact46,Jonathan Labin,Karl Olsson,KBW Ventures,Knollwood Investment Advisory,Samih Toukan,Shorooq Partners,Vision Ventures",HALA Ventures,1,500 Global || Al Falaj Investment Company || Dubai Angel Investors || Impact46 || Jonathan Labin || Karl Olsson || KBW Ventures || Knollwood Investment Advisory || Samih Toukan || Shorooq Partners || Vision Ventures
e42bc539-92fb-45d7-87ef-2eb881178af9,"Arzan Venture Capital,HALA Ventures,Palm Ventures,Vision Ventures",HALA Ventures,1,Arzan Venture Capital || Palm Ventures || Vision Ventures
26dabfe0-88ea-4141-a665-b9f0c03fa795,"Arzan Venture Capital,HALA Ventures,Sanabil,Stc,Vision Ventures",HALA Ventures,1,Arzan Venture Capital || Sanabil || Stc || Vision Ventures
6623f1fe-c4be-410e-a15a-cf99d06a906c,"500 Global,AlBawardi Group,Al Nafea,Bunat Ventures,DASH Ventures,HALA Ventures,Jahez International Company,RZM Investments,SEEDRA Ventures,Siraj Holding,VentureSouq",HALA Ventures,1,500 Global || AlBawardi Group || Al Nafea || Bunat Ventures || DASH Ventures || Jahez International Company || RZM Investments || SEEDRA Ventures || Siraj Holding || VentureSouq
c6d690b0-51b7-486a-b9ea-18dfe1bed040,"500 Global,HALA Ventures,HearstLab,Sukna Ventures,Tech Invest Com,Vision Ventures",HALA Ventures,1,500 Global || HearstLab || Sukna Ventures || Tech Invest Com || Vision Ventures
80de3603-18fb-4dc8-a0b6-bd3b049c9feb,"Algebra Ventures,Arzan Venture Capital,Financial Horizon Group,HALA Ventures,KFHC Ventures",HALA Ventures,1,Algebra Ventures || Arzan Venture Capital || Financial Horizon Group || KFHC Ventures
f418666d-113a-4e58-bb7b-0b2f3fe08536,"HALA Ventures,Impact46,SEEDRA Ventures,Techstars",HALA Ventures,1,Impact46 || SEEDRA Ventures || Techstars
31de20ad-af34-481c-b6d0-14cd3621da2b,"500 Global,EFG EV Fintech,F6 Ventures,HALA Ventures",HALA Ventures,1,500 Global || EFG EV Fintech || F6 Ventures
4a158c67-4ff9-43f0-aaea-443310f2ff76,"Business Innovation Mine (BIM),Derayah Venture Capital,HALA Ventures,Impact46",HALA Ventures,1,Business Innovation Mine (BIM) || Derayah Venture Capital || Impact46
1e9909b5-e1d6-43b4-b116-27d0b78e3c30,"Arzan Venture Capital,Dtec Ventures,Dubai Angel Investors,HALA Ventures,Sanabil 500 MENA Seed Accelerator",HALA Ventures,1,Arzan Venture Capital || Dtec Ventures || Dubai Angel Investors || Sanabil 500 MENA Seed Accelerator
5fffe929-6183-4481-b1d7-90440c0c3c31,"AlJammaz Group,Derayah Financial,HALA Ventures,Public Investment Fund,STV",HALA Ventures,1,AlJammaz Group || Derayah Financial || Public Investment Fund || STV
628ab56c-a79d-4f57-97d8-2ae9869382ae,"500 Global,Dubai International Financial Centre (DIFC),HALA Ventures,Kuwait Investment Projects Company,Middle East Venture Partners (MEVP),Mubadala,Oryx Fund,Shorooq Partners,Vision Ventures",HALA Ventures,1,500 Global || Dubai International Financial Centre (DIFC) || Kuwait Investment Projects Company || Middle East Venture Partners (MEVP) || Mubadala || Oryx Fund || Shorooq Partners || Vision Ventures
0237eb16-5814-4831-915a-d6b953b2acc8,"Global Ventures,HALA Ventures,Vision Ventures",HALA Ventures,1,Global Ventures || Vision Ventures
