epoch_index,display_epoch,training_loss,training_seconds,validation_HR@10,validation_NDCG@10,validation_hit_count,mean_positive_rank,median_positive_rank,validation_seconds,became_best,global_optimizer_step,test_cases_scored
0,1,0.503966831872146,312.57671223022044,0.1341625944024878,0.06701454928592573,302,44.77787649933363,43.0,8.077150480821729,True,105,0
1,2,0.47254326996899254,317.05938669480383,0.16303864948911595,0.0802072682286249,367,41.00932918702799,37.0,7.486125124618411,True,210,0
2,3,0.439198417453414,308.28351430781186,0.1568191914704576,0.07355430853518022,353,41.041314971123946,37.0,7.467200195416808,False,315,0
3,4,0.3828544836256693,309.1933240946382,0.15992892047978677,0.07808894270244089,360,42.19235895157708,40.0,7.5031608287245035,False,420,0
4,5,0.3020640695223913,313.62269354239106,0.1519324744557974,0.07591476044067791,342,43.28031985784096,40.0,7.990702141076326,False,525,0
5,6,0.2213263993360105,320.7925223056227,0.15104398045313194,0.073932451745419,340,43.214571301643716,41.0,7.68161591514945,False,630,0
6,7,0.1572134539468316,315.6400635931641,0.15015548645046645,0.06988880664700792,338,43.66725899600178,41.0,8.16521529853344,False,735,0
7,8,0.11851667243399995,320.976625027135,0.14660151043980454,0.07041813487249983,330,43.300755219902264,41.0,7.928654467687011,False,840,0
8,9,0.0928976002537711,321.6661062948406,0.1505997334517992,0.0711073922914009,339,43.32918702798756,41.0,7.255697086453438,False,945,0
9,10,0.07937501724941314,319.9876261819154,0.14304753442914261,0.06941958503282879,322,43.35228787205686,40.0,7.675092091783881,False,1050,0
10,11,0.06820983207974468,321.6226860322058,0.14393602843180808,0.07045800032887725,324,43.573078631719234,40.0,8.295353930443525,False,1155,0
11,12,0.061842145481151384,321.1429436337203,0.1528209684584629,0.07275045231264102,344,43.4762327854287,41.0,7.961442166939378,False,1260,0
12,13,0.05643066728305026,320.3237885646522,0.15370946246112838,0.07246362271523385,346,42.6988005330964,39.0,8.224236814305186,False,1365,0
13,14,0.05136002574867159,321.18362000770867,0.15415370946246112,0.07322452587259862,347,43.053753887161264,40.0,8.355867944657803,False,1470,0
14,15,0.04764250712375498,319.6020768135786,0.15504220346512662,0.07372756277915489,349,42.8507330075522,40.0,7.900973819196224,False,1575,0
15,16,0.04242996723737194,318.73153768107295,0.14971123944913373,0.07303802797180381,337,42.52465570857397,39.0,8.307723866775632,False,1680,0
16,17,0.04022443690297322,320.83939265087247,0.15859617947578855,0.07643374983835524,357,42.69702354509107,40.0,8.143827674910426,False,1785,0
17,18,0.04008395350494804,320.6526786778122,0.15904042647712127,0.07559473482058793,358,42.28520657485562,39.0,8.286588912829757,False,1890,0
18,19,0.03831956523636851,321.22279605828226,0.15904042647712127,0.07611298555010187,358,42.33673922701022,39.0,8.353058395907283,False,1995,0
19,20,0.034324621709644725,321.57133933901787,0.15326521545979566,0.07383414371491198,345,43.036872501110615,40.0,8.374203888699412,False,2100,0
